geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
'01'000'001003,NA,NA,NA,智仁里,5,楊烈,NA,'1,60,N,NA,1456,37.55,3878,44,3922,5007,78.33,'01,'000,'01,'001,'0031
'01'000'001003,NA,NA,NA,秀山里,1,張育憬,NA,'2,42,N,NA,43,2,2153,29,2182,2847,76.64,'01,'000,'01,'001,'0032
'01'000'001003,NA,NA,NA,秀山里,2,張志傑,NA,'1,30,N,NA,21,0.98,2153,29,2182,2847,76.64,'01,'000,'01,'001,'0032
'01'000'001003,NA,NA,NA,秀山里,3,鄭光照,NA,'1,57,N,NA,9,0.42,2153,29,2182,2847,76.64,'01,'000,'01,'001,'0032
'01'000'001003,NA,NA,NA,秀山里,4,丁守中,NA,'1,58,Y,*,1266,58.8,2153,29,2182,2847,76.64,'01,'000,'01,'001,'0032
'01'000'001003,NA,NA,NA,秀山里,5,楊烈,NA,'1,60,N,NA,814,37.81,2153,29,2182,2847,76.64,'01,'000,'01,'001,'0032
'01'000'001003,NA,NA,NA,文化里,1,張育憬,NA,'2,42,N,NA,56,2.08,2687,42,2729,3418,79.84,'01,'000,'01,'001,'0033
'01'000'001003,NA,NA,NA,文化里,2,張志傑,NA,'1,30,N,NA,31,1.15,2687,42,2729,3418,79.84,'01,'000,'01,'001,'0033
'01'000'001003,NA,NA,NA,文化里,3,鄭光照,NA,'1,57,N,NA,7,0.26,2687,42,2729,3418,79.84,'01,'000,'01,'001,'0033
'01'000'001003,NA,NA,NA,文化里,4,丁守中,NA,'1,58,Y,*,1977,73.58,2687,42,2729,3418,79.84,'01,'000,'01,'001,'0033
'01'000'001003,NA,NA,NA,文化里,5,楊烈,NA,'1,60,N,NA,616,22.93,2687,42,2729,3418,79.84,'01,'000,'01,'001,'0033
'01'000'001003,NA,NA,NA,豐年里,1,張育憬,NA,'2,42,N,NA,47,1.71,2750,47,2797,3593,77.85,'01,'000,'01,'001,'0034
'01'000'001003,NA,NA,NA,豐年里,2,張志傑,NA,'1,30,N,NA,29,1.05,2750,47,2797,3593,77.85,'01,'000,'01,'001,'0034
'01'000'001003,NA,NA,NA,豐年里,3,鄭光照,NA,'1,57,N,NA,18,0.65,2750,47,2797,3593,77.85,'01,'000,'01,'001,'0034
